DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,Label
100.368,35.831,77.185,4.125,3.022,4.125,64.148,0.988,-1.412,1
76.662,41.597,57.61,20.994,2.627,20.994,59.55,0.816,-1.405,0
131.952,68.607,97.411,52.58,2.59,3.199,161.768,2.509,1.325,0
112.406,96.005,102.324,51.541,2.341,1.695,151.687,3.214,-1.268,0
578.983,33.73,182.5,271.064,2.457,46.723,511.99,0.334,1.258,0
118.866,21.74,76.05,105.244,1.767,1.008,230.404,0.475,1.384,1
221.773,76.09,187.33,90.368,2.625,6.685,216.178,1.569,-0.725,0
318.909,94.67,180.014,37.487,3.848,37.487,88.43,1.781,1.099,0
195.93,135.079,103.403,37.445,3.525,37.445,87.113,2.9,-1.414,1
111.715,75.523,88.815,34.202,2.419,27.196,197.526,1.995,-1.254,0
90.983,59.974,61.567,58.858,2.032,22.152,116.507,1.026,0.844,0
123.404,20.392,62.788,115.638,1.877,12.827,299.984,0.686,1.363,1
83.872,28.18,57.631,13.09,3.081,13.09,59.227,1.606,1.414,0
129.283,41.315,99.762,86.855,1.828,1.282,224.558,0.7,0.524,1
118.528,29.133,57.771,144.839,1.634,7.481,209.047,0.941,1.413,1
82.156,53.053,49.483,112.503,1.414,19.829,209.241,0.654,1.028,0
137.579,73.495,65.863,61.119,2.953,17.015,100.614,1.016,1.282,1
78.316,7.826,54.43,14.888,2.816,14.888,52.507,1.024,-1.066,1
96.301,5.59,56.112,101.136,1.835,51.838,175.689,1.51,1.124,0
212.769,74.521,149.234,0.225,3.13,0.225,148.079,1.256,-1.407,0
110.007,4.849,72.674,101.144,1.751,12.151,183.713,0.804,1.137,1
127.248,30.615,88.692,48.98,2.455,0.413,139.908,0.855,1.411,1
251.03,21.032,149.823,45.019,2.72,1.405,202.226,0.346,-0.544,0
381.671,12.781,229.039,18.658,3.066,43.969,350.472,0.427,-1.353,0
119.791,54.378,78.176,0.615,3.129,0.615,78.332,1.507,-1.339,0
111.518,10.329,69.383,100.731,1.733,0.021,208.242,0.892,1.196,1
129.753,7.479,93.627,119.692,1.582,25.308,271.87,0.549,1.185,1
112.406,78.29,207.816,27.01,3.251,38.703,164.766,0.78,-1.368,0
134.217,60.953,85.924,56.567,2.67,56.91,139.228,0.853,1.395,1
120.036,19.844,86.288,109.032,1.691,78.914,466.989,0.395,1.35,1
113.162,2.74,75.32,0.62,3.109,0.62,76.175,0.601,-1.338,1
70.303,38.477,30.214,152.453,0.947,14.074,254.873,1.086,1.288,0
137.284,43.525,99.707,52.842,2.763,4.708,133.285,0.595,0.103,1
89.955,56.215,72.602,2.793,2.777,2.793,59.272,1.392,-1.401,0
112.406,87.016,99.312,2.53,1.894,2.53,141.29,0.287,-1.248,0
112.406,70.638,60.395,21.037,2.032,21.037,71.457,0.8,-1.4,0
151.034,8.663,67.337,88.076,2.229,27.749,233.908,0.539,0.728,1
112.406,67.371,29.381,2.406,1.117,2.406,54.884,0.967,-1.414,0
92.495,65.437,64.087,2.761,2.685,2.761,69.383,1.935,-1.365,0
112.406,79.281,67.079,15.595,2.24,15.595,51.171,1.484,-0.873,0
110.447,5.229,77.176,83.111,1.803,5.05,187.34,0.44,1.187,0
112.406,64.876,83.098,22.956,2.298,22.956,58.582,0.968,-0.388,0
119.3,45.067,78.954,61.777,2.59,4.161,141.248,0.481,1.285,1
145.688,53.669,103.348,319.554,1.044,23.854,564.52,0.268,1.128,1
99.897,60.522,58.463,0.753,3.007,0.753,62.16,2.099,-1.347,0
80.504,35.307,55.49,25.756,3.147,25.756,56.408,1.677,1.414,0
78.315,66.839,52.579,22.401,2.959,22.401,54.453,1.655,-1.404,0
98.45,0.076,67.756,52.366,2.537,10.995,152.314,1.899,1.004,0
112.406,69.389,73.514,0.724,2.061,0.724,73.614,0.576,-1.365,0
43.079,52.383,34.579,29.783,1.242,2.096,136.481,1.17,-0.964,0
112.406,65.139,103.942,1.959,2.377,1.959,110.866,0.679,-1.391,0
156.521,51.422,119.206,60.753,2.961,28.228,217.765,3.173,0.688,0
138.96,60.7,92.434,151.501,1.608,0.781,280.805,0.58,1.168,1
150.974,10.406,109.002,47.656,3.136,8.244,125.851,1.868,1.328,1
123.106,24.939,66.604,112.699,2.164,33.783,212.087,1.636,1.331,0
169.253,98.729,123.724,37.956,2.512,23.71,193.952,1.09,-1.134,1
446.489,102.733,251.309,26.407,4.952,26.407,77.487,2.089,-1.414,0
88.407,68.207,62.449,24.532,2.513,24.532,55.052,1.561,-0.898,0
83.181,47.801,58.365,46.955,2.316,0.439,167.548,0.815,0.932,0
86.857,9.914,63.91,104.635,1.654,20.454,185.844,3.231,0.76,0
153.099,67.205,91.126,37.486,2.781,37.486,92.987,1.518,1.392,1
119.513,73.694,65.512,45.032,2.986,15.249,114.008,0.965,1.216,0
108.586,93.44,91.833,37.999,2.144,2.512,138.173,2.152,-1.152,0
93.713,38.301,65.625,87.075,1.669,2.022,252.963,0.824,1.248,1
112.406,76.798,52.211,7.972,1.859,7.972,63.073,1.438,-1.413,0
132.319,6.158,75.35,131.618,1.753,0.349,252.198,1.104,1.094,1
138.895,49.972,106.317,91.672,2.151,34.429,266.339,2.099,-0.293,1
117.477,13.725,59.01,84.157,2.742,33.325,127.283,1.391,1.311,1
115.565,77.064,86.696,18.399,3.174,18.399,79.454,1.407,-1.283,1
126.83,21.81,95.388,38.328,2.354,3.413,133.655,0.825,-1.071,0
89.596,11.675,55.653,152.21,1.179,100.509,325.244,0.424,1.412,0
127.318,2.83,66.379,108.029,1.958,5.647,275.416,0.966,1.054,1
142.182,66.145,96.489,5.924,3.293,5.924,67.452,1.987,-1.259,0
